HG02285-GS000016420-ASM	e22993952eb716bb1cfca078cef4fd6b+52878
HG02286-GS000016419-ASM	4efef7f67d6918ace6a92b7e5854b83f+52872
HG02287-GS000017903-ASM	272fceda8d3daac1942b0e91f9b17cdc+52866
HG02291-GS000017105-ASM	47a8dae2fd000636a2cc9bdc9fedf296+52864
HG02292-GS000013194-ASM	d5a646a4c500eb0869b8daa3bd05c257+52859
HG02293-GS000013193-ASM	d5f039fefbaea2ed24a4a74b6c084a5a+52858
HG02301-GS000017904-ASM	cf5c000744a25ec11136ba6c4d530924+52870
HG02302-GS000016554-ASM	a0d701dd3e7d1418c3ed0448e444db34+52877
HG02303-GS000016553-ASM	c7824eba7f25c8f4af7dfe4f383ffdbe+52870
HG02490-GS000013415-ASM	1284d1c78f8427aafab6c698548b81ba+52876
HG02491-GS000013191-ASM	e01c894b4a17b541f11f7b0a8c5d806d+52874
HG02492-GS000013190-ASM	40f6120b1f8f7f7e7522da79d411a510+52882
HG02600-GS000016696-ASM	ef89d0fe425763fec90d48a47a51da54+52884
HG02601-GS000016693-ASM	f5c59948d818f05dc87fade53e5d48d8+52876
HG02602-GS000016692-ASM	ada110f703c82a1c092c9b4765ecd55c+52882
HG02603-GS000016691-ASM	75b78e420c85ed27d4b964d08caaa8d0+52877
HG02604-GS000016690-ASM	50bffb6a3758944c266f96da378a1feb+52865
HG02605-GS000016689-ASM	a5aef4427d4bb0e5e1e903be67e44a6e+52872
HG02654-GS000016688-ASM	ecf6a4181e6fdeb4202bae64589a1df4+52879
HG02655-GS000016687-ASM	9ae17e8b18c4aa9dc896bb6bd18ea841+52872
HG02656-GS000016686-ASM	29e82b48b561441ba6bfa8c86aa8eb0b+52874
HG02657-GS000016544-ASM	d6046ab65acd08aa6f36d8c0027d192f+52882
HG02658-GS000017179-ASM	24158f7679fe665a761110c352e9d442+52861
HG02659-GS000017180-ASM	58617d86d34390ee0e028db1c19c2ff9+52866
HG02660-GS000017181-ASM	7cdb72d90c42ea1558321c46bb168a93+52878
HG02661-GS000017902-ASM	9535c15632c40d5ec6594638be446adc+52870
HG02662-GS000017126-ASM	f7fbe4a20f34b4a4f8d2103d705f8e9d+52871
HG02684-GS000017127-ASM	c5bdbfb436caa178da53dd9ff11e14a3+52870
HG02685-GS000017225-ASM	a93858e8a37b63bf1b3f1a9a4fe7eb0e+52871
HG02686-GS000016439-ASM	e30249f9682e5b9abcee01dda2d4d7ba+52878
HG02687-GS000016685-ASM	0809f0a929cf2d69cd688b6fc1169bb9+52882
HG02688-GS000017228-ASM	83622b5671404db2c47d265cd9f0ba6a+52868
HG02689-GS000017128-ASM	3f2378d32b56f5f58e43962cf19e8010+52877
HG02696-GS000016436-ASM	58e05e833bae3b7dfe922b1777cc75e0+52876
HG02697-GS000017229-ASM	509b494ed7aeb869fcab4ab73b52620d+52871
HG02698-GS000017230-ASM	2b328c96a5485fc90c4212cff74d338e+52879
HG02724-GS000016990-ASM	120c443755cd027bd34f09daee01b56c+52883
HG02725-GS000016997-ASM	7eee93be0508c8e5bdd972bb61e1fa04+52879
HG02726-GS000016996-ASM	0f4fd3f81630200e95d99fafca75d9d1+52877
HG02727-GS000016995-ASM	d06fcd9606d957654277e31bb2882081+52883
HG02728-GS000017019-ASM	6c300c032442d03f570ae95ad9e2f89f+52877
HG02729-GS000017017-ASM	f301f90dffdbe45d835e9ccbcb0a7797+52883
HG02733-GS000017232-ASM	04a59938f42befc9fef28d76c3a79a04+52877
HG02734-GS000017233-ASM	684755c6de0de43aa9606f6ae26d23a6+52869
HG02735-GS000016431-ASM	c00c8ec2be22a4b4230e003c165e492e+52882
HG02783-GS000017016-ASM	d49b76e51c44f3f46399b3987dc0d693+52881
HG02784-GS000017015-ASM	fc1eb6cd539bc35308d604c0e1c1e6ee+52877
HG02785-GS000017012-ASM	e161c1cb0135cfbf23108e68c9099246+52877
HG02786-GS000017013-ASM	5683a60c89a5479638476bb3190102d8+52883
HG02787-GS000017021-ASM	c0f6a03af5050244bd5e94ec6a12dad3+52876
HG02789-GS000017011-ASM	4b9efcdd7e94a78a62a17f44e994565a+52884
HG02790-GS000017018-ASM	c38cfb8fce4d094c6971245179eae293+52878
HG02791-GS000017014-ASM	54669bb4d6b0d9667ccf84ce145a7c88+52884
HG03237-GS000017140-ASM	2a0d6bde196bb084d34792ba618b5c79+52885
HG03238-GS000017139-ASM	73c59ef4db2672a4939252f8d11c002c+52879
HG03239-GS000017138-ASM	4bad3809da44ad5e5df8e1a47f76b1f7+52880
hg19	4fe58e2cf9ab99ebb5e34623d9c499db+27420
hu011C57-GS01669-DNA_B05	f40ba6d0f4ac46d070046bd0bb7e191c+52871
hu016B28-GS01669-DNA_H03	55d2ef791f3abf6cee992537b2fc19fb+52876
hu01F73B-GS03133-DNA_A02	1921c40bb2969f2339cbf8f03570a466+52863
hu0211D6-GS01175-DNA_E02	d4e8030a05bed39c457dd0805df6e844+52871
hu025CEA-GS01669-DNA_D02	6296606d5470f337c7960da81f40681d+52871
hu032C04-GS01669-DNA_A10	686cea3e49c4da464fa6b75450ed74a3+52872
